name;official_name;population
Abraveses;Freguesia de Abraveses;8350
Barreiros e Cepões;União das freguesias de Barreiros e Cepões;1394
Boa Aldeia, Farminhão e Torredeita;União das freguesias de Boa Aldeia, Farminhão e Torredeita;2357
Bodiosa;Freguesia de Bodiosa;2840
Calde;Freguesia de Calde;1271
Campo;Freguesia de Campo;4802
Cavernães;Freguesia de Cavernães;1335
Cota;Freguesia de Cota;796
Coutos de Viseu;Freguesia de Coutos de Viseu;1500
Faíl e Vila Chã de Sá;Freguesia de Fail e Vila Chã de Sá;2512
Fragosela;Freguesia de Fragosela;2528
Lordosa;Freguesia de Lordosa;1642
Mundão;Freguesia de Mundão;2410
Orgens;Freguesia de Orgens;3663
Povolide;Freguesia de Povolide;1583
Ranhados;Freguesia de Ranhados;5891
Repeses e São Salvador;Freguesia de Repeses e São Salvador;6752
Ribafeita;Freguesia de Ribafeita;1079
Rio de Loba;Freguesia de Rio de Loba;9009
Santos Evos;Freguesia de Santos Evos;1474
São Cipriano e Vil do Souto;Freguesia de São Cipriano e Vil do Souto;1699
São João de Lourosa;Freguesia de São João de Lourosa;4693
São Pedro de France;Freguesia de São Pedro de France;1217
Silgueiros;Freguesia de Silgueiros;2021
Viseu;Freguesia de Viseu;25804
